number,title,artist,danceability,energy,key,loudness,mode,speechiness,acoustiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pronoun 
1, Already Over, Mike Shinoda , 0.486, 0.942, 0, -3.824,1, 0.0536, 0.000449, 0, 0.304, 0.747, 150.036, 160640, 4, 
2, Daylight, David Kushner , 0.508, 0.43, 2, -9.475,0, 0.0335, 0.83, 0.000441, 0.093, 0.324, 130.09, 212954, 4, 
3, Eat Your Young, Hozier , 0.546, 0.599, 7, -6.442,0, 0.0286, 0.35, 0.0686, 0.256, 0.331, 90.0, 243947, 4, 
4, Conceited, Lola Young , 0.759, 0.453, 11, -4.967,0, 0.0763, 0.385, 0, 0.498, 0.86, 92.009, 239452, 4, 
5, bad idea right?, Olivia Rodrigo , 0.627, 0.879, 9, -3.446,1, 0.0955, 0.00193, 6.87e-06, 0.0647, 0.748, 129.979, 184784, 4, 
6, Young In America, Barns Courtney , 0.563, 0.858, 8, -6.697,1, 0.159, 0.00428, 0, 0.0938, 0.366, 139.964, 224913, 4, 
7, Madonna, Kevin Abstract , 0.677, 0.783, 11, -7.701,0, 0.062, 0.334, 0, 0.143, 0.398, 140.034, 183080, 4, 
8, Black Dress, 070 Shake , 0.614, 0.645, 10, -4.237,1, 0.0312, 0.0285, 2.22e-06, 0.0832, 0.4, 121.998, 237362, 4, 
9, What Now, Brittany Howard , 0.748, 0.937, 2, -4.662,1, 0.0866, 0.147, 0.00202, 0.0975, 0.66, 99.97, 226680, 3, 
10, Not Strong Enough, boygenius , 0.508, 0.797, 1, -5.854,1, 0.0411, 0.00261, 7.56e-06, 0.0916, 0.361, 126.982, 234933, 4, 
