number,title,artist,danceability,energy,key,loudness,mode,speechiness,acoustiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pronoun 
1, Saving Up, Dom Dolla , 0.747, 0.822, 3, -6.373,0, 0.0721, 0.00353, 0.132, 0.165, 0.578, 129.994, 207514, 4, 
2, Dress Code, Mau P , 0.716, 0.94, 1, -5.443,1, 0.0539, 0.00799, 0.728, 0.0807, 0.737, 128.015, 203438, 4, 
3, She's On My Mind, Romy , 0.675, 0.852, 9, -5.942,1, 0.0333, 0.00382, 0.14, 0.147, 0.834, 118.508, 181240, 4, 
4, BELLYDANCING, INJI , 0.826, 0.86, 7, -3.914,1, 0.119, 0.0056, 0.273, 0.422, 0.766, 121.074, 122520, 4, 
5, Walked In The Room, Channel Tres , 0.758, 0.88, 11, -5.522,0, 0.0928, 0.0169, 0.515, 0.11, 0.491, 117.04, 198307, 4, 
6, Vois sur ton chemin - Techno Mix, BENNETT , 0.634, 0.824, 2, -3.394,0, 0.047, 0.0908, 0.0711, 0.119, 0.371, 137.959, 178156, 4, 
7, Fall Again, Hayla , 0.589, 0.954, 5, -6.033,0, 0.0444, 0.026, 0.0087, 0.151, 0.537, 129.983, 206794, 4, 
8, If U Need It, Sammy Virji , 0.87, 0.685, 10, -5.829,0, 0.237, 0.11, 0.000299, 0.119, 0.204, 131.986, 180000, 4, 
9, Strangers, Kenya Grace , 0.628, 0.523, 11, -8.307,0, 0.0946, 0.701, 0.00274, 0.219, 0.416, 169.982, 172965, 4, 
10, NRG, Jazzy , 0.735, 0.971, 7, -4.501,1, 0.144, 0.305, 0, 0.0784, 0.602, 128.055, 146250, 4, 
