number,title,artist,danceability,energy,key,loudness,mode,speechiness,acoustiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pronoun 
1, Crazy, Lil Baby , 0.818, 0.435, 4, -8.167,0, 0.322, 0.0755, 0, 0.207, 0.282, 130.046, 192000, 4, 
2, Lovin On Me, Jack Harlow , 0.943, 0.558, 2, -4.911,1, 0.0568, 0.0026, 2.19e-06, 0.0937, 0.606, 104.983, 138411, 4, 
3, FTCU, Nicki Minaj , 0.928, 0.458, 11, -6.751,1, 0.187, 0.0175, 0.000446, 0.118, 0.242, 144.995, 172138, 4, 
4, Soak City (Do it), 310babii , 0.836, 0.409, 9, -14.189,1, 0.188, 0.258, 4.92e-06, 0.242, 0.233, 101.931, 122321, 4, 
5, 500lbs, Lil Tecca , 0.731, 0.667, 7, -7.928,0, 0.0815, 0.134, 0, 0.114, 0.485, 123.042, 144390, 4, 
6, 350, Lil Baby , 0.775, 0.485, 5, -7.942,0, 0.469, 0.151, 0, 0.193, 0.532, 114.6, 193953, 5, 
7, Paint The Town Red, Doja Cat , 0.868, 0.538, 5, -8.603,1, 0.174, 0.269, 3.34e-06, 0.0901, 0.732, 99.968, 231750, 4, 
8, Cobra, Megan Thee Stallion , 0.816, 0.649, 0, -5.12,0, 0.242, 0.709, 0, 0.52, 0.686, 138.056, 168933, 4, 
9, Bow Bow Bow (F My Baby Dad), Sexyy Red , 0.823, 0.728, 1, -4.336,1, 0.15, 0.194, 0, 0.318, 0.455, 85.051, 140401, 4, 
10, Everybody (feat. Lil Uzi Vert), Nicki Minaj , 0.736, 0.769, 11, -5.546,0, 0.258, 0.027, 0, 0.23, 0.388, 137.947, 180870, 4, 
