number, title, artist, danceability, energy, key, loudness, mode, speechiness, acoustiness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature, pronoun, flag 
1, "Basquiat", "Black Hibiscus" , 0.621, 0.397, 6, -11.858,0, 0.0299, 0.0544, 0.0201, 0.0796, 0.349, 94.95, 235774, 4, GH, True 
2, "Buzz Cut Blues", "Desert Mambas" , 0.636, 0.364, 0, -8.386,1, 0.031, 0.897, 3.21e-06, 0.104, 0.303, 120.058, 128216, 4, U, False 
3, "Nail Biter", "Virgo Rising" , 0.322, 0.559, 7, -7.549,1, 0.0309, 0.589, 0.0284, 0.112, 0.437, 89.536, 209000, 4, T, False 
4, "Didn't Want To Have To Do It (Ver. 1)", "Cass Elliot" , 0.451, 0.321, 8, -14.447,1, 0.0594, 0.708, 0.0254, 0.134, 0.324, 78.365, 217640, 3, U, False 
5, "Lodarore", "Uwade" , 0.523, 0.283, 2, -14.369,1, 0.0385, 0.908, 1.08e-05, 0.121, 0.312, 79.108, 173655, 4, W, False 
6, "Midas", "Annahstasia" , 0.348, 0.184, 10, -14.214,1, 0.0316, 0.929, 0.0112, 0.1, 0.0762, 139.898, 162225, 4, GM, True 
7, "Alone Again", "Faye Webster" , 0.692, 0.189, 1, -16.612,1, 0.0281, 0.786, 0.000209, 0.121, 0.436, 78.007, 152533, 4, GW, True 
8, "This is Not Who I Want to Be", "Joanna Sternberg" , 0.475, 0.0979, 0, -14.317,1, 0.0284, 0.941, 0.018, 0.0817, 0.298, 71.813, 212821, 4, T, False 
9, "Eyelids", "Katy Kirby" , 0.527, 0.0545, 0, -19.996,1, 0.0374, 0.917, 4.85e-05, 0.167, 0.181, 144.813, 100387, 4, W, False 
10, "Older", "Searows" , 0.373, 0.277, 0, -12.993,1, 0.0297, 0.84, 0.0401, 0.105, 0.145, 140.881, 415970, 4, U, False 
11, "He Could Never Love You", "Henry Morris" , 0.467, 0.349, 2, -10.931,1, 0.0276, 0.76, 0.00178, 0.129, 0.281, 173.991, 215000, 4, U, False 
12, "Why Am I (In California).cass", "Christian Taylor" , 0.731, 0.251, 3, -13.426,1, 0.0308, 0.833, 0.000114, 0.34, 0.196, 102.56, 214500, 4, U, False 
13, "Older", "Eliza McLamb" , 0.641, 0.376, 11, -12.561,0, 0.0329, 0.669, 0.672, 0.0946, 0.457, 146.936, 276751, 4, U, False 
14, "Nothing Really Changes", "Slow Leaves" , 0.498, 0.268, 0, -12.165,1, 0.0343, 0.821, 1.07e-06, 0.154, 0.195, 103.023, 157781, 4, U, False 
15, "Make Out Song", "The Rosebuds" , 0.537, 0.234, 4, -13.783,0, 0.0616, 0.871, 0.799, 0.109, 0.122, 74.953, 349320, 4, GH, True 
16, "John, Take Me With You", "JW Francis" , 0.521, 0.746, 2, -8.405,1, 0.0297, 0.789, 0.788, 0.35, 0.48, 154.997, 210852, 4, U, False 
17, "Somebody Told Me", "Sorcha Richardson" , 0.534, 0.639, 9, -10.722,0, 0.0955, 0.335, 0.00056, 0.0899, 0.415, 108.066, 231243, 4, W, False 
18, "Someway Somehow", "Party Nails" , 0.49, 0.478, 5, -5.636,1, 0.0269, 0.476, 0.0147, 0.0905, 0.262, 94.95, 208678, 4, W, False 
19, "If The Moon Were A Mirror", "Quality Used Cars" , 0.463, 0.488, 0, -9.147,1, 0.0277, 0.216, 8.01e-06, 0.12, 0.286, 77.952, 208687, 4, T, False 
20, "Slow Down Kamikaze - Live", "Anna Moss" , 0.616, 0.157, 0, -15.176,0, 0.041, 0.783, 0.000902, 0.208, 0.299, 76.979, 308037, 4, U, False 
21, "Your Star", "Shallow Alcove" , 0.6, 0.319, 8, -11.813,1, 0.028, 0.17, 0.142, 0.121, 0.324, 139.961, 295024, 4, T, False 
22, "Cacao to Cacao", "Ratboys" , 0.604, 0.343, 9, -10.573,1, 0.0299, 0.726, 0.000683, 0.11, 0.232, 122.014, 136613, 4, T, False 
23, "Pool Song", "Farmer's Wife" , 0.498, 0.584, 4, -9.235,0, 0.033, 0.347, 0.0015, 0.4, 0.171, 117.059, 251194, 4, U, False 
24, "Insert Generic Name", "Okay Kaya" , 0.606, 0.418, 9, -8.692,1, 0.0308, 0.886, 0, 0.328, 0.327, 131.986, 145169, 4, W, False 
25, "SHALLOW (PPL SWIM IN SHALLOW WATER)", "Saya Gray" , 0.697, 0.237, 10, -11.741,1, 0.0329, 0.932, 1.35e-06, 0.116, 0.355, 107.856, 229619, 3, U, False 
26, "The Great Equalizer", "Ava McCoy" , 0.627, 0.475, 7, -9.085,0, 0.0563, 0.756, 2.04e-05, 0.377, 0.469, 107.584, 121836, 4, W, False 
27, "Ocean Breeze", "Daneshevskaya" , 0.559, 0.233, 8, -10.194,1, 0.0274, 0.637, 0.000326, 0.0802, 0.192, 136.983, 218181, 4, GW, True 
28, "One for sorrow, two for Joni Jones", "The Japanese House" , 0.422, 0.0431, 0, -13.84,1, 0.0434, 0.959, 0, 0.224, 0.447, 84.141, 270267, 3, GW, True 
29, "HIT ME WHERE IT HURTS", "Lala Lala" , 0.639, 0.776, 11, -6.465,1, 0.0289, 0.00254, 0.000701, 0.0695, 0.945, 114.996, 262547, 4, U, False 
