number, title, artist, danceability, energy, key, loudness, mode, speechiness, acoustiness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature, pronoun, flag 
1, Our House, Crosby, Stills, Nash & Young , 0.592, 0.205, 9, -14.601,1, 0.048, 0.896, 5.46e-05, 0.119, 0.378, 140.282, 179760, 4, T, 0 
2, Clay Pigeons, Michael Cera , 0.292, 0.241, 6, -17.001,1, 0.0428, 0.97, 0.00989, 0.105, 0.441, 172.175, 186000, 4, U, 0 
3, Little Changes, Clairo , 0.415, 0.0778, 5, -21.716,1, 0.0434, 0.982, 3.44e-05, 0.089, 0.178, 62.85, 160545, 4, W, 0 
4, Say Yes, Elliott Smith , 0.501, 0.0903, 5, -20.377,1, 0.0509, 0.866, 0.000243, 0.11, 0.423, 153.441, 139000, 4, GH, 1 
5, Acolyte, Slaughter Beach, Dog , 0.79, 0.476, 9, -10.674,1, 0.0338, 0.782, 0.0942, 0.113, 0.774, 123.977, 316468, 4, GM, 1 
6, First Day of My Life, Bright Eyes , 0.596, 0.253, 1, -14.369,0, 0.0349, 0.896, 5.17e-05, 0.102, 0.368, 95.162, 188878, 4, GM, 1 
7, State Of Grace (Taylor's Version), Taylor Swift , 0.594, 0.713, 9, -5.314,1, 0.0503, 0.000328, 0, 0.114, 0.328, 129.958, 295413, 4, GM, 1 
8, Treacherous (Taylor's Version), Taylor Swift , 0.645, 0.593, 2, -6.506,1, 0.0288, 0.0344, 0.000127, 0.13, 0.299, 109.984, 242720, 4, GM, 1 
9, Sad Beautiful Tragic (Taylor's Version), Taylor Swift , 0.601, 0.406, 7, -11.827,1, 0.0275, 0.622, 9.19e-05, 0.133, 0.232, 130.059, 284773, 3, GM, 1 
10, I, Carrion (Icarian), Hozier , 0.307, 0.174, 0, -14.946,1, 0.0347, 0.776, 0.0678, 0.0845, 0.204, 78.509, 196613, 4, H, 0 
11, First Time, Hozier , 0.331, 0.653, 1, -7.145,1, 0.0835, 0.198, 6.98e-05, 0.107, 0.469, 155.565, 233173, 4, H, 0 
12, Shout To The Top, The Style Council , 0.639, 0.919, 4, -5.203,0, 0.0858, 0.489, 0, 0.103, 0.87, 144.237, 256267, 4, GH, 1 
13, anything, Adrianne Lenker , 0.388, 0.291, 3, -12.952,1, 0.0421, 0.774, 1.93e-05, 0.0874, 0.51, 83.943, 202047, 4, T, 0 
14, ivy, Taylor Swift , 0.515, 0.545, 2, -9.277,1, 0.0353, 0.855, 1.97e-05, 0.0921, 0.535, 88.856, 260440, 4, GM, 1 
