number, title, artist, danceability, energy, key, loudness, mode, speechiness, acoustiness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature, pronoun, flag 
1, Friends, Chase Atlantic ,0.328,0.608,11,-6.368,0,0.038,0.0117, 6.45e-06,0.108,0.0796,107.384,230011,3, U,0
2, mona lisa, mxmtoon ,0.701,0.666,2,-6.13,1,0.0329,0.109,0.000758,0.193,0.712,112.004,190053,4, W,0
3, rises the moon, Liana Flores ,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,161929,3, U,0
4, Your face, Wisp ,0.549,0.761,4,-7.489,1,0.0269,0.00616,0.826,0.156,0.326,134.026,227426,4, U,0
5, Strangers, Kenya Grace ,0.628,0.523,11,-8.307,0,0.0946,0.701,0.00274,0.219,0.416,169.982,172965,4, U,0
6, IT GIRL, Aliyah's Interlude ,0.969,0.707,1,-5.509,1,0.258,0.00822,0,0.314,0.421,124.991,161760,4, U,0
7, ecstacy (slowed), SUICIDAL-IDOL ,0.551,0.677,2,-7.311,1,0.0665,0.0173,0,0.381,0.195,106.414,119120,4, U,0
8, i walk this earth all by myself, EKKSTACY ,0.595,0.588,10,-11.313,1,0.0624,0.507,0.781,0.113,0.518,166.061,145634,4, U,0
9, 4 Morant (Better Luck Next Time), Com Truise ,0.462,0.771,1,-2.931,0,0.342,0.0537,0.113,0.401,0.482,170.392,171000,4, H,0
10, Hey Lover, The Daughters Of Eve ,0.48,0.482,7,-11.45,0,0.0362,0.25,0.000289,0.345,0.684,128.16,144000,4, T,0
11, Inside Out, Duster ,0.553,0.465,9,-9.664,1,0.0301,0.84,0.97,0.102,0.652,79.223,141040,4, T,0
12, Black Friday, Tom Odell ,0.48,0.199,6,-12.398,1,0.0329,0.931,0.0563,0.0978,0.201,165.476,221510,4, U,0
13, too far close, Chase Shakur ,0.795,0.334,4,-10.074,0,0.0479,0.559,0.0148,0.112,0.403,129.99,180267,4, H,0
14, Back to the Old House - 2011 Remaster, The Smiths ,0.626,0.488,2,-7.805,1,0.0253,0.0102,0.000188,0.141,0.404,104.13,186627,3, GH,1
15, ur so pretty, Wasia Project ,0.322,0.231,4,-12.919,1,0.0347,0.932,0.00076,0.149,0.228,91.186,132000,3, H,0
16, Take Me Where Your Heart Is, Q ,0.858,0.426,10,-8.879,0,0.0402,0.00586,0.761,0.0977,0.419,89.981,192897,4, U,0
17, Clay Pigeons, Michael Cera ,0.292,0.241,6,-17.001,1,0.0428,0.97,0.00989,0.105,0.441,172.175,186000,4, U,0
18, where's the confetti?, jev. ,0.574,0.874,5,-4.922,0,0.174,0.0283,0,0.11,0.819,92.153,200934,4, GH,1
19, white tee, Lil Peep ,0.8,0.526,11,-8.909,1,0.0416,0.285,0,0.0717,0.729,149.991,132227,4, H,0
20, Nothing Matters, The Last Dinner Party ,0.587,0.798,2,-5.109,1,0.037,0.0329,0.000134,0.184,0.6,101.161,181750,4, U,0
21, 4runner, Brenn! ,0.585,0.519,1,-10.641,1,0.0858,0.324,0.000185,0.408,0.526,128.05,265454,4, U,0
22, The Hardest Part, Olivia Dean ,0.577,0.595,0,-5.057,1,0.189,0.41,0,0.0992,0.37,187.725,176048,4, U,0
23, SPIT IN MY FACE!, ThxSoMch ,0.73,0.785,8,-6.512,1,0.0554,0.0464,0.0216,0.111,0.649,94.094,147875,4, U,0
24, Hallucinogenics, Matt Maeson ,0.549,0.653,0,-7.47,1,0.0503,0.457,0,0.0969,0.287,121.348,187173,4, U,0
25, It Almost Worked, TV Girl ,0.673,0.886,9,-4.347,1,0.0282,0.302,0.348,0.0792,0.679,140.586,152000,4, U,0
26, i was all over her, salvia palth ,0.529,0.353,7,-12.835,1,0.0292,0.788,0.853,0.116,0.0601,104.557,161463,4, H,0
27," Sea, Swallow Me", Cocteau Twins ,0.454,0.673,0,-13.425,1,0.0265,0.589,0.238,0.252,0.827,163.954,189040,3, T,0
28, Wet Dream, Wet Leg ,0.721,0.701,2,-5.941,1,0.0306,0.000927,0.026,0.234,0.892,130.091,140080,3, T,0
29, Moves, Suki Waterhouse ,0.574,0.44,0,-8.274,1,0.024,0.579,0,0.348,0.365,84.992,193032,4, W,0
30, A New Kind Of Love - Demo, Frou Frou ,0.674,0.487,9,-13.307,1,0.0331,0.169,0.00411,0.127,0.329,132.97,259073,4, GM,1
