number, title, artist, danceability, energy, key, loudness, mode, speechiness, acoustiness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature, pronoun, flag 
1, my friend's toyota, asiris , 0.617, 0.672, 6, -6.035,1, 0.0599, 0.392, 0, 0.207, 0.691, 100.02, 194400, 4, U, 0 
2, Upset (feat. Tommy Richman & FELIX!), Brent Faiyaz , 0.86, 0.486, 11, -10.338,1, 0.176, 0.484, 0, 0.104, 0.877, 134.992, 177778, 4, H, 0 
3, Destroy Myself Just For You, Montell Fish , 0.512, 0.186, 0, -16.028,1, 0.0373, 0.904, 0.0281, 0.11, 0.191, 59.677, 146000, 4, U, 0 
4, eyes don't lie, Kingfishr , 0.375, 0.692, 0, -10.147,1, 0.0348, 0.433, 0.00461, 0.0763, 0.36, 112.238, 226901, 5, U, 0 
5, Love Me Back, Bebe Stockwell , 0.487, 0.224, 7, -14.538,0, 0.0369, 0.87, 0.00107, 0.189, 0.355, 151.795, 148067, 4, U, 0 
6, Pretend, alex_g_offline , 0.611, 0.703, 9, -2.924,1, 0.0282, 0.0541, 1.29e-06, 0.105, 0.358, 116.11, 359770, 4, U, 0 
7, First Love/Late Spring, Mitski , 0.445, 0.543, 0, -8.196,1, 0.0272, 0.000825, 0.0137, 0.202, 0.102, 99.963, 278640, 4, W, 0 
8, Toroka, Christian Kuria , 0.641, 0.438, 5, -7.029,1, 0.132, 0.905, 0.000134, 0.108, 0.343, 67.529, 202075, 4, U, 0 
9, Rain, The Teskey Brothers , 0.475, 0.311, 9, -7.66,1, 0.0311, 0.46, 7.39e-05, 0.11, 0.236, 133.781, 254177, 3, T, 0 
10, Stay For A While, Victor Ray , 0.555, 0.406, 6, -10.029,0, 0.0925, 0.761, 0, 0.0966, 0.626, 165.42, 189560, 3, T, 0 
11, Session 32, Summer Walker , 0.574, 0.123, 1, -13.959,1, 0.196, 0.894, 0.00111, 0.118, 0.117, 115.431, 98027, 3, W, 0 
12, Sweetest Thing on This Side of Heaven, Papa Bear & His Cubs , 0.469, 0.295, 2, -16.234,1, 0.0369, 0.85, 0.000736, 0.14, 0.604, 149.532, 221398, 4, U, 0 
13, Hey Lover, The Daughters Of Eve , 0.48, 0.482, 7, -11.45,0, 0.0362, 0.25, 0.000289, 0.345, 0.684, 128.16, 144000, 4, T, 0 
14, Suspicions, Larry Lovestein & The Velvet Revival , 0.776, 0.384, 9, -10.976,0, 0.0431, 0.776, 0, 0.112, 0.387, 110.001, 220499, 4, U, 0 
15, Stop Waiting, Cigarettes After Sex , 0.456, 0.336, 2, -15.466,1, 0.0264, 0.333, 0.799, 0.0737, 0.0762, 87.435, 362973, 4, GH, 1 
16, Camille, chlothegod , 0.8, 0.544, 0, -7.079,1, 0.0367, 0.397, 0.000969, 0.102, 0.514, 100.004, 136400, 4, U, 0 
17, wildflowers, Ethan Regan , 0.855, 0.507, 2, -7.371,1, 0.129, 0.505, 0, 0.359, 0.66, 130.12, 212885, 4, U, 0 
18, Kick It to Me, Sammy Rae & The Friends , 0.597, 0.675, 2, -6.431,1, 0.0569, 0.533, 1.45e-05, 0.168, 0.823, 160.057, 387600, 4, T, 0 
19, Finish Line, Delaney Bailey , 0.488, 0.175, 2, -16.332,1, 0.0334, 0.655, 0.0111, 0.33, 0.192, 109.192, 158049, 5, U, 0 
20, sore loser - Acoustic, SOLOMON , 0.802, 0.209, 2, -13.605,0, 0.188, 0.909, 3.39e-05, 0.12, 0.67, 110.994, 131253, 4, U, 0 
21, Hold Me Down, Daniel Caesar , 0.463, 0.427, 8, -9.799,0, 0.0549, 0.628, 0.000565, 0.0911, 0.231, 116.059, 231268, 4, H, 0 
22, F* TASTE, Yoshi T. , 0.825, 0.592, 10, -7.482,1, 0.13, 0.188, 1.36e-06, 0.051, 0.696, 145.962, 120388, 4, H, 0 
23, Foreign Ties, Certainly So , 0.64, 0.678, 1, -8.874,0, 0.066, 0.122, 9.34e-05, 0.647, 0.79, 91.179, 266653, 4, T, 0 
24, OUT OF MY MIND, little image , 0.89, 0.429, 0, -6.247,1, 0.042, 0.0076, 0.000692, 0.067, 0.822, 110.078, 160677, 4, U, 0 
25, Simply The Best, Billianne , 0.593, 0.193, 11, -11.81,1, 0.0378, 0.943, 4.79e-05, 0.106, 0.315, 139.936, 173571, 4, U, 0 
26, Back to the Old House - 2011 Remaster, The Smiths , 0.626, 0.488, 2, -7.805,1, 0.0253, 0.0102, 0.000188, 0.141, 0.404, 104.13, 186627, 3, GH, 1 
27, Burn, David Kushner , 0.574, 0.408, 0, -9.733,1, 0.0359, 0.799, 0.00295, 0.15, 0.134, 126.127, 179173, 4, H, 0 
28, Crimson and Clover, The Shacks , 0.589, 0.732, 1, -5.851,1, 0.209, 0.218, 0.0175, 0.552, 0.475, 82.222, 220671, 4, T, 0 
29, Subside, Eloise , 0.729, 0.461, 8, -6.412,1, 0.349, 0.476, 0.00453, 0.149, 0.485, 82.188, 188186, 4, U, 0 
30, safety, greek , 0.366, 0.305, 6, -12.919,1, 0.0332, 0.386, 0, 0.152, 0.435, 99.912, 183600, 3, U, 0 
