number, title, artist, danceability, energy, key, loudness, mode, speechiness, acoustiness, instrumentalness, liveness, valence, tempo, duration_ms, time_signature, pronoun, flag 
1, I’m Still Trying, Matthew Fowler ,0.61,0.613,4,-8.008,1,0.0548,0.573,0.0387,0.117,0.748,78.661,202880,4, H,0
2, Gemini, Del Water Gap ,0.565,0.881,7,-6.512,0,0.046,0.0418, 1.17e-06,0.297,0.756,93.962,199333,4, U,0
3, JEWEL, Adam Melchor ,0.476,0.341,2,-14.282,1,0.0409,0.968,0.298,0.162,0.709,92.853,241226,4, U,0
4, Simply The Best, Billianne ,0.593,0.193,11,-11.81,1,0.0378,0.943, 4.79e-05,0.106,0.315,139.936,173571,4, U,0
5, Moon Begins, Florist ,0.487,0.144,10,-15.137,1,0.041,0.978,0.0449,0.109,0.42,75.468,184822,4, U,0
6, Talk Too Much, Reneé Rapp ,0.682,0.53,11,-6.908,0,0.0537,0.0338,0,0.146,0.858,112.694,196679,4, W,0
7, Back to the Old House - 2011 Remaster, The Smiths ,0.626,0.488,2,-7.805,1,0.0253,0.0102,0.000188,0.141,0.404,104.13,186627,3, GH,1
8, ghosts, Rosemary ,0.491,0.539,2,-6.791,0,0.0264,0.135, 1.12e-05,0.147,0.266,105.082,213429,4, U,0
9, For a While, Sam Johnston ,0.613,0.492,2,-9.555,1,0.0492,0.669,0.0299,0.283,0.454,81.031,273414,4, H,0
10, dopamine, mehro ,0.656,0.777,3,-6.551,1,0.0298,0.186,0.000364,0.166,0.69,99.976,158569,4, U,0
11, Tomb, Angelo De Augustine ,0.637,0.237,10,-14.951,1,0.0316,0.971,0.023,0.103,0.635,85.67,258003,4, H,0
12, Lavender, Gemma Laurence ,0.447,0.631,1,-7.325,1,0.0318,0.633,0.0215,0.0908,0.551,146.53,216573,4, W,0
13, Baghdad, Flo Perlin ,0.487,0.337,8,-13.564,1,0.0385,0.739,0.00474,0.112,0.345,115.244,206276,4, W,0
14, Tacky Landlord, runo plum ,0.314,0.172,3,-13.591,1,0.0304,0.906, 4.64e-06,0.109,0.174,83.66,187042,3, U,0
15, all in good Time, Torri Weidinger ,0.249,0.172,0,-16.317,0,0.036,0.959,0.362,0.104,0.204,161.416,301278,4, U,0
16, Motion Sickness (Demo - Bonus Track), Phoebe Bridgers ,0.356,0.239,1,-11.059,1,0.0295,0.954, 3.9e-05,0.131,0.159,95.292,264452,4, GW,1
17, Places We Won't Walk, Bruno Major ,0.392,0.0894,3,-16.046,1,0.0476,0.97, 6.06e-05,0.108,0.195,87.641,169410,3, U,0
18, I'm So Cool, Padma ,0.651,0.627,4,-6.779,0,0.0332,0.439,0,0.413,0.512,119.994,164999,4, U,0
19, Hater's Anthem, Infinity Song ,0.603,0.648,1,-9.785,1,0.0388,0.0902,0,0.0788,0.524,97.993,171869,4, U,0
20, Disco Nights, Wiley Beckett ,0.449,0.581,9,-7.882,1,0.0656,0.438, 2.65e-05,0.0825,0.701,116.343,216491,4, U,0
21, Touch, Alice Phoebe Lou ,0.64,0.552,8,-9.467,1,0.0233,0.0846,0.00049,0.162,0.815,98.066,208051,4, W,0
22, Us - 2005 Remaster, Regina Spektor ,0.268,0.391,1,-5.985,1,0.0308,0.882,0.00592,0.15,0.137,86.77,288773,4, W,0
23, Seventeen, Tomberlin ,0.402,0.328,7,-9.947,1,0.0288,0.974,0.00563,0.138,0.313,137.687,271126,4, U,0
24, Adeline, John-Robert ,0.606,0.405,2,-9.127,1,0.0297,0.739,0.00202,0.0846,0.105,95.108,228640,3, T,0
25, Paranoia Purple, stories ,0.388,0.23,10,-11.752,1,0.0358,0.907,0,0.0983,0.23,132.629,237157,4, U,0
26, Forever & Always, Zeph ,0.497,0.103,8,-23.581,0,0.0443,0.989,0.945,0.111,0.347,154.881,249706,4, U,0
27, Fuck My Birthday, bugzbee ,0.751,0.76,11,-6.572,0,0.189,0.234, 1.31e-06,0.497,0.736,132.988,193909,4, U,0
28, Blackberry Song, Kurt Vile ,0.536,0.403,1,-11.65,1,0.0332,0.869,0.939,0.155,0.224,97.882,206320,4, H,0
29, Baby Tonight, Black Polish ,0.417,0.759,10,-6.728,1,0.034,0.000236,0.000137,0.113,0.134,189.85,198625,4, U,0
30, from here on out, lighthearted ,0.356,0.556,4,-8.563,1,0.0358,0.482,0.00107,0.0921,0.174,74.95,271422,4, U,0
