number,title,artist,danceability,energy,key,loudness,mode,speechiness,acoustiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,pronoun,flag 
1, Little Life, Cordelia , 0.507, 0.0606, 11, -15.605,1, 0.0342, 0.92, 2.62e-06, 0.111, 0.173, 130.629, 270316, 5, U, 0 
2, Nothing On, Michael Bernard Fitzgerald , 0.555, 0.419, 2, -11.211,1, 0.0352, 0.229, 0.019, 0.139, 0.334, 101.834, 192827, 4, GH, 1 
3, Spruce Grouse, Small Fools , 0.617, 0.182, 8, -14.158,0, 0.0305, 0.958, 0.0688, 0.108, 0.246, 145.004, 232678, 4, T, 0 
4, Millionaire, Girl Scout , 0.473, 0.49, 4, -7.126,1, 0.0271, 0.824, 2.77e-05, 0.132, 0.394, 107.748, 214013, 4, T, 0 
5, Harvest Moon, Phoenix Moon , 0.749, 0.392, 2, -10.252,1, 0.029, 0.344, 0.000119, 0.292, 0.483, 112.051, 301412, 4, U, 0 
6, KETCHUP POTATO CHIPS, Mato Wayuhi , 0.579, 0.513, 9, -9.019,1, 0.0292, 0.353, 0.631, 0.112, 0.34, 83.308, 198752, 3, H, 0 
7, Break In, NewDad , 0.65, 0.527, 5, -6.867,0, 0.0303, 0.624, 0.000556, 0.107, 0.595, 133.034, 222443, 4, U, 0 
8, Decades & Dreams, Bathe Alone , 0.504, 0.623, 7, -8.99,0, 0.0268, 0.375, 0.052, 0.263, 0.51, 100.007, 208427, 4, GW, 1 
9, Smells Like Leaving, Hannah Cameron , 0.575, 0.234, 11, -13.677,1, 0.034, 0.914, 0.00407, 0.0886, 0.288, 121.195, 150985, 3, W, 0 
10, Captive, Allie Crow Buckley , 0.536, 0.389, 5, -10.096,1, 0.0238, 0.677, 0.0571, 0.117, 0.0802, 80.774, 261467, 4, W, 0 
11, Guard Dog, Hannah Cole , 0.362, 0.441, 0, -8.63,1, 0.0296, 0.0182, 0.00443, 0.0968, 0.174, 180.17, 325570, 4, U, 0 
12, Darkeve, Lutalo , 0.523, 0.334, 10, -13.855,0, 0.0404, 0.818, 0.26, 0.147, 0.407, 85.102, 162867, 4, T, 0 
13, Crybaby, Chrissy , 0.451, 0.745, 4, -4.048,1, 0.0481, 0.206, 1.71e-06, 0.37, 0.415, 172.407, 220465, 4, U, 0 
14, Hard Feelings, Howdy , 0.582, 0.43, 4, -8.041,1, 0.0258, 0.489, 8.46e-06, 0.155, 0.389, 107.084, 264820, 4, U, 0 
15, Heart of Mine, Calvin Love , 0.562, 0.212, 5, -16.682,1, 0.0363, 0.645, 0.722, 0.152, 0.31, 115.926, 215423, 4, U, 0 
16, Momentary Sweetheart, Deb Never , 0.436, 0.497, 0, -4.442,1, 0.0292, 0.0633, 0, 0.166, 0.495, 159.869, 182400, 4, W, 0 
17, gum v9.1, Devon Again , 0.659, 0.41, 2, -8.752,1, 0.0496, 0.721, 0.00577, 0.0828, 0.379, 133.94, 167440, 4, U, 0 
18, Defender, Flyte , 0.83, 0.253, 11, -9.882,1, 0.0398, 0.718, 0.00947, 0.0986, 0.412, 127.868, 236303, 4, T, 0 
19, By Design, mmeadows , 0.335, 0.325, 7, -11.245,1, 0.0695, 0.919, 0.0116, 0.118, 0.352, 73.11, 226214, 4, T, 0 
20, All the Way Back, Divine Sweater , 0.49, 0.763, 6, -6.988,1, 0.0303, 0.0633, 0.125, 0.357, 0.73, 81.461, 140800, 4, U, 0 
21, Don't Go Puttin Wishes in My Head, TORRES , 0.464, 0.737, 0, -8.222,1, 0.0318, 2.37e-05, 0.00019, 0.224, 0.0605, 136.005, 261942, 4, W, 0 
22, Birds Go Die Out Of Sight (Don't Go Home) (feat. Allison Russell), Peter One , 0.769, 0.241, 7, -12.085,1, 0.0377, 0.939, 0.0154, 0.158, 0.729, 109.077, 257053, 4, GH, 1 
23, You and Me, Butter Bath , 0.56, 0.611, 11, -6.211,0, 0.028, 0.247, 0.0734, 0.0523, 0.641, 85.014, 199061, 4, U, 0 
24, I Just Want To Talk To You, Charles Brown , 0.506, 0.685, 7, -10.605,1, 0.0565, 0.596, 1.64e-05, 0.1, 0.753, 92.568, 191039, 4, GH, 1 
25, we were girls together, Delaney Bailey , 0.596, 0.127, 7, -15.2,1, 0.0335, 0.895, 0.0455, 0.113, 0.32, 96.513, 137137, 4, U, 0 
26, My Girl 2020, Valley Boy , 0.664, 0.462, 3, -10.842,1, 0.0306, 0.437, 0.0303, 0.152, 0.761, 72.013, 199167, 4, H, 0 
27, Polyurethane, Lomelda , 0.526, 0.0819, 4, -20.148,1, 0.032, 0.93, 0.585, 0.358, 0.208, 129.024, 106533, 4, W, 0 
28, flip your pillow, runo plum , 0.501, 0.316, 4, -12.034,1, 0.0258, 0.486, 0.000407, 0.165, 0.498, 166.097, 134937, 4, U, 0 
29, Highlight, Astoria , 0.803, 0.702, 0, -8.019,1, 0.0707, 0.353, 0.223, 0.293, 0.376, 120.003, 197500, 4, U, 0 
30, Circles, Esmé Patterson , 0.529, 0.312, 2, -11.308,1, 0.0335, 0.26, 0.000371, 0.125, 0.269, 83.104, 189717, 4, W, 0 
